date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2025-11-09;Mon. (B);Code For Giants Cup LATAM #4;YanXII;MasTeR;0;2;3;B;0
2025-09-28;C-Tier;eXimius Open Cup #1;YanXII;KamiKaze;1;2;3;C;0
2025-09-28;C-Tier;eXimius Open Cup #1;YanXII;Dorminhoco;2;0;3;C;1
2025-09-28;C-Tier;eXimius Open Cup #1;YanXII;Elivolts;1;0;1;C;1
2025-09-28;C-Tier;eXimius Open Cup #1;YanXII;Glibo;1;0;1;C;1
2025-09-28;C-Tier;eXimius Open Cup #1;YanXII;MasTeR;0;2;3;C;0
2025-08-16;Mon. (B);Amantes de SC2 #40;YanXII;nanO;2;3;5;B;0
2025-08-16;Mon. (B);Amantes de SC2 #40;YanXII;MasTeR;1;3;5;B;0
2025-08-16;Mon. (B);Amantes de SC2 #40;YanXII;AlisoN;2;1;3;B;1
2025-08-16;Mon. (B);Amantes de SC2 #40;YanXII;Dorminhoco;2;0;3;B;1
2025-07-19;Mon. (B);Amantes de SC2 #39;YanXII;nanO;0;1;1;B;0
2025-07-19;Mon. (B);Amantes de SC2 #39;YanXII;MasTeR;0;2;3;B;0
2025-05-29;Qual. (S);EWC 2025 Americas Quali - Bracket;YanXII;Dolan;1;2;3;S;0
2025-05-13;Week. (B);PiGosaur Cup #31;YanXII;MaxPax;0;2;3;B;0
2025-05-11;B-Tier;CBSC2: A Decisão - Playoffs;YanXII;nanO;1;2;3;B;0
2025-05-11;B-Tier;CBSC2: A Decisão - Playoffs;YanXII;Elivolts;2;0;3;B;1
2025-05-10;B-Tier;CBSC2: A Decisão - Playoffs;YanXII;Dorminhoco;2;0;3;B;1
2025-05-06;Week. (B);PiGosaur Monday #30;YanXII;SHIN;0;2;3;B;0
2025-05-04;B-Tier;CBSC2: A Decisão - Group Stage 2;YanXII;MasTeR;0;2;3;B;0
2025-05-04;B-Tier;CBSC2: A Decisão - Group Stage 2;YanXII;DakkoN;2;1;3;B;1
2025-05-04;B-Tier;CBSC2: A Decisão - Group Stage 2;YanXII;nanO;1;2;3;B;0
2025-04-12;C-Tier;Hellfire Open #1;YanXII;MasTeR;0;2;3;C;0
2025-04-12;C-Tier;Hellfire Open #1;YanXII;AlisoN;2;0;3;C;1
2025-04-12;C-Tier;Hellfire Open #1;YanXII;Savi;2;0;3;C;1
2025-04-08;Biw. (C);Code For Giants Cup #23;YanXII;MasTeR;0;2;3;C;0
2025-04-08;Biw. (C);Code For Giants Cup #23;YanXII;Purple;2;0;3;C;1
2025-03-25;Biw. (C);Code For Giants Cup #22;YanXII;KamiKaze;0;2;3;C;0
2025-03-25;Biw. (C);Code For Giants Cup #22;YanXII;Elivolts;2;0;3;C;1
2025-02-08;Mon. (B);Amantes de SC2 #36;YanXII;nanO;1;2;3;B;0
2025-02-08;Mon. (B);Amantes de SC2 #36;YanXII;AlisoN;1;0;1;B;1
2025-02-08;Mon. (B);Amantes de SC2 #36;YanXII;Erik;0;2;3;B;0
2025-02-08;Mon. (B);Amantes de SC2 #36;YanXII;Purple;1;0;1;B;1
2025-01-21;Biw. (C);Code For Giants Cup #18;YanXII;KamiKaze;0;2;3;C;0
2025-01-21;Biw. (C);Code For Giants Cup #18;YanXII;DakkoN;2;0;3;C;1
2025-01-18;Mon. (C);Amantes de SC2 #35;YanXII;nanO;0;1;1;C;0
2025-01-18;Mon. (C);Amantes de SC2 #35;YanXII;MasTeR;0;2;3;C;0
2025-01-18;Mon. (C);Amantes de SC2 #35;YanXII;Sleepy;2;0;3;C;1
2024-10-08;Biw. (C);Code For Giants Cup #12;YanXII;INexorable;1;3;5;C;0
2024-10-08;Biw. (C);Code For Giants Cup #12;YanXII;MasTeR;2;0;3;C;1
2024-10-08;Biw. (C);Code For Giants Cup #12;YanXII;Dorminhoco;2;1;3;C;1
2024-10-08;Biw. (C);Code For Giants Cup #12;YanXII;Claw;2;0;3;C;1
2024-09-10;Biw. (C);Code For Giants Cup #10;YanXII;Erik;0;2;3;C;0
2024-09-10;Biw. (C);Code For Giants Cup #10;YanXII;Sleepy;2;1;3;C;1
2024-09-10;Biw. (C);Code For Giants Cup #10;YanXII;CubosOscuros;2;0;3;C;1
2024-08-27;Biw. (C);Code For Giants Cup #9;YanXII;nanO;1;2;3;C;0
2024-08-27;Biw. (C);Code For Giants Cup #9;YanXII;StimPacker;2;0;3;C;1
2024-08-27;Biw. (C);Code For Giants Cup #9;YanXII;LeLezinha;1;0;1;C;1
2024-08-24;Mon. (C);Amantes de SC2 #32;YanXII;MasTeR;0;2;3;C;0
2024-08-24;Mon. (C);Amantes de SC2 #32;YanXII;KamiKaze;1;0;1;C;1
2024-08-24;Mon. (C);Amantes de SC2 #32;YanXII;manteguinha;1;0;1;C;1
2024-08-24;Mon. (C);Amantes de SC2 #32;YanXII;INexorable;0;2;3;C;0
2024-07-27;Mon. (C);Amantes de SC2 #31;YanXII;KamiKaze;0;1;1;C;0
2024-07-27;Mon. (C);Amantes de SC2 #31;YanXII;Sefirofe;1;0;1;C;1
2024-07-27;Mon. (C);Amantes de SC2 #31;YanXII;INexorable;0;2;3;C;0
2024-07-08;Week. (B);ESL Open Cup #235 Americas;YanXII;Maplez;0;1;1;B;0
2024-07-05;Qual. (S);EWC 2024 AM Qualifier;YanXII;SpeCial;0;2;3;S;0
2024-07-02;Biw. (C);Code For Giants Cup #6;YanXII;KamiKaze;0;2;3;C;0
2024-07-02;Biw. (C);Code For Giants Cup #6;YanXII;DemonOfNight;2;0;3;C;1
2024-06-12;Week. (B);KFC 2024 S1 #6;YanXII;Firefly;0;2;3;B;0
2024-06-04;Biw. (C);Code For Giants Cup #4;YanXII;KamiKaze;0;2;3;C;0
2024-06-04;Biw. (C);Code For Giants Cup #4;YanXII;Lovatel;2;0;3;C;1
2024-05-21;Biw. (C);Code For Giants Cup #3;YanXII;MasTeR;1;2;3;C;0
2024-05-21;Biw. (C);Code For Giants Cup #3;YanXII;victorbansemer;2;0;3;C;1
2024-05-21;Biw. (C);Code For Giants Cup #3;YanXII;nLghosT;2;0;3;C;1
2024-05-20;Week. (B);ESL Open Cup #228 Europe;YanXII;Mixu;0;1;1;B;0
2024-05-20;Week. (B);ESL Open Cup #228 Americas;YanXII;PiG;0;2;3;B;0
2024-05-18;Mon. (B);Amantes de SC2 #30;YanXII;INexorable;0;2;3;B;0
2024-05-18;Mon. (B);Amantes de SC2 #30;YanXII;Erik;0;2;3;B;0
2024-05-18;Mon. (B);Amantes de SC2 #30;YanXII;MasTeR;2;0;3;B;1
2024-05-18;Mon. (B);Amantes de SC2 #30;YanXII;manteguinha;1;0;1;B;1
2024-05-13;Week. (B);ESL Open Cup #227 Americas;YanXII;ByuN;0;2;3;B;0
2024-05-07;Biw. (C);Code For Giants Cup #2;YanXII;MasTeR;0;2;3;C;0
2024-05-07;Biw. (C);Code For Giants Cup #2;YanXII;KamiKaze;2;0;3;C;1
2024-05-07;Biw. (C);Code For Giants Cup #2;YanXII;Vitorino;2;0;3;C;1
2024-05-06;Week. (B);ESL Open Cup #226 Americas;YanXII;Dark;0;2;3;B;0
2024-02-17;Mon. (C);HOST Open #15;YanXII;MasTeR;0;2;3;C;0
2024-02-17;Mon. (C);HOST Open #15;YanXII;AlisoN;2;1;3;C;1
2024-02-17;Mon. (C);HOST Open #15;YanXII;Mantega;1;0;1;C;1
2024-02-17;Mon. (C);HOST Open #15;YanXII;INexorable;0;2;3;C;0
2024-02-17;Mon. (C);HOST Open #15;YanXII;Lovatel;2;0;3;C;1
2024-02-03;Mon. (B);Amantes de SC2 #29;YanXII;KamiKaze;0;2;3;B;0
2024-02-03;Mon. (B);Amantes de SC2 #29;YanXII;MasTeR;0;2;3;B;0
2024-02-03;Mon. (B);Amantes de SC2 #29;YanXII;INExoRaBle;2;1;3;B;1
2024-01-22;Week. (B);ESL Open Cup #211 Americas;YanXII;ByuN;0;2;3;B;0
2023-11-20;Week. (B);ESL Open Cup #202 Americas;YanXII;MaxPax;0;2;3;B;0
2023-04-16;Biw. (C);Tenacious Turtle Tussle #1;YanXII;BadBorz;2;0;3;C;1
2023-04-15;Biw. (C);Tenacious Turtle Tussle #1;YanXII;Nice;0;2;3;C;0
2023-03-19;Mon. (C);Amantes de SC2 #27;YanXII;mantega;1;2;3;C;0
2023-02-27;Week. (B);ESL Open Cup #164 Americas;YanXII;eGGz;0;2;3;B;0
2023-02-20;Week. (B);ESL Open Cup #163 Americas;YanXII;Vindicta;0;2;3;B;0
2023-01-28;Mon. (B);Amantes de SC2 #26;YanXII;INExoRaBle;1;2;3;B;0
2023-01-28;Mon. (B);Amantes de SC2 #26;YanXII;saVio;1;0;1;B;1
2023-01-28;Mon. (B);Amantes de SC2 #26;YanXII;AlisoN;1;2;3;B;0
2023-01-28;Mon. (B);Amantes de SC2 #26;YanXII;KamiKaze;2;0;3;B;1
2022-12-03;B-Tier;1° eXimius Invitational - GS Group A;YanXII;Kelazhur;0;2;3;B;0
2022-12-03;B-Tier;1° eXimius Invitational - GS Group A;YanXII;KamiKaze;1;2;3;B;0
2022-12-03;B-Tier;1° eXimius Invitational - GS Group A;YanXII;TheZergLord;0;2;3;B;0
2022-10-29;Mon. (B);Amantes de SC2 #25;YanXII;MasTeR;0;4;5;B;0
2022-10-29;Mon. (B);Amantes de SC2 #25;YanXII;AlisoN;3;2;5;B;1
2022-10-29;Mon. (B);Amantes de SC2 #25;YanXII;MasTeR;0;3;5;B;0
2022-10-29;Mon. (B);Amantes de SC2 #25;YanXII;PrintSc;2;0;3;B;1
2022-10-29;Mon. (B);Amantes de SC2 #25;YanXII;saVio;2;0;3;B;1
2022-09-30;Biw. (C);Sentimiento Latino #139;YanXII;Pacomike;0;1;1;C;0
2022-09-30;Biw. (C);Sentimiento Latino #139;YanXII;TheZergLord;0;2;3;C;0
2022-09-24;Mon. (B);Amantes de SC2 #24;YanXII;AlisoN;2;3;5;B;0
2022-09-24;Mon. (B);Amantes de SC2 #24;YanXII;mantega;2;0;3;B;1
2022-09-24;Mon. (B);Amantes de SC2 #24;YanXII;KamiKaze;1;0;1;B;1
2022-09-24;Mon. (B);Amantes de SC2 #24;YanXII;AlisoN;1;2;3;B;0
2022-09-24;Mon. (B);Amantes de SC2 #24;YanXII;Dorminhoco;2;0;3;B;1
2022-09-16;Qual. (A);DHM Atlanta: LA Qualifiers - Bracket;YanXII;Pacomike;0;2;3;A;0
2022-09-16;Qual. (A);DHM Atlanta: LA Qualifiers - Bracket;YanXII;Bombilla;2;0;3;A;1
2022-09-14;Qual. (A);DHM Atlanta: LA Qualifiers - Bracket;YanXII;Alexander;0;2;3;A;0
2022-09-14;Qual. (A);DHM Atlanta: LA Qualifiers - Bracket;YanXII;StimPacker;2;0;3;A;1
2022-08-01;Week. (B);ESL Open Cup #134 Americas;YanXII;NightMare;0;2;3;B;0
2022-07-29;Biw. (C);Copa Hyperion #47;YanXII;Cham;0;2;3;C;0
2022-07-29;Biw. (C);Copa Hyperion #47;YanXII;Pacomike;1;0;1;C;1
2022-07-25;Week. (B);ESL Open Cup #133 Americas;YanXII;Dark;0;2;3;B;0
2022-07-25;Week. (B);ESL Open Cup #133 Americas;YanXII;ReBellioN;2;0;3;B;1
2022-07-24;Week. (B);ESL Open Cup #133 Korea;YanXII;Percival;0;2;3;B;0
2022-07-04;Week. (B);ESL Open Cup #130 Americas;YanXII;Firefly;0;2;3;B;0
2022-07-04;Week. (B);ESL Open Cup #130 Americas;YanXII;Relm;2;0;3;B;1
2022-07-04;Week. (B);ESL Open Cup #130 Americas;YanXII;PhleBuster;2;1;3;B;1
2022-06-08;Qual. (S);HSC XXI: Latin America Qualifier;YanXII;tavo;0;2;3;S;0
2022-06-08;Qual. (S);HSC XXI: Latin America Qualifier;YanXII;manteguinha;1;0;1;S;1
2022-06-07;Qual. (S);HSC XXI: Latin America Qualifier;YanXII;Kelazhur;0;2;3;S;0
2022-05-30;Week. (B);ESL Open Cup #125 Americas;YanXII;Gerald;0;2;3;B;0
2022-05-28;Mon. (B);Amantes de SC2 #21;YanXII;DTWB;0;1;1;B;0
2022-05-28;Mon. (B);Amantes de SC2 #21;YanXII;KamiKaze;0;1;1;B;0
2022-05-28;Mon. (B);Amantes de SC2 #21;YanXII;Andreas;2;0;3;B;1
2022-05-27;Biw. (C);Sentimiento Latino #131;YanXII;Ryu;0;2;3;C;0
