date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2024-12-03;Week. (B);OlimoLeague Week #232;Armani;Oliveira;0;2;3;B;0
2024-12-03;Week. (B);OlimoLeague Week #232;Armani;largo;2;0;3;B;1
2023-09-12;Qual. (S);2023 GSL S3: Qualifier - Round 1;Armani;LunaSea;0;2;3;S;0
2023-09-12;Qual. (S);2023 GSL S3: Qualifier - Round 1;Armani;Stats;0;2;3;S;0
2023-06-22;Qual. (S);2023 GSL S2: Qualifier - Round 1;Armani;TY;0;2;3;S;0
2023-06-22;Qual. (S);2023 GSL S2: Qualifier - Round 1;Armani;Classic;0;2;3;S;0
2023-06-22;Qual. (S);2023 GSL S2: Qualifier - Round 1;Armani;universe;2;0;3;S;1
2023-04-10;Qual. (S);2023 GSL S1: Qualifier;Armani;TY;1;2;3;S;0
2023-04-10;Qual. (S);2023 GSL S1: Qualifier;Armani;KeeN;0;2;3;S;0
2023-04-10;Qual. (S);2023 GSL S1: Qualifier;Armani;Khala;2;0;3;S;1
2023-02-08;S-Tier;IEM Katowice 2023;Armani;Nice;1;2;3;S;0
2023-02-08;S-Tier;IEM Katowice 2023;Armani;Cure;1;2;3;S;0
2022-11-28;S-Tier;2022 GSL: ST 2;Armani;ByuN;0;3;5;S;0
2022-11-14;Qual. (S);2022 GSL: ST 2 Qualifier - Round 2;Armani;Percival;2;1;3;S;1
2022-11-14;Qual. (S);2022 GSL: ST 2 Qualifier - Round 2;Armani;soO;0;2;3;S;0
2022-11-14;Qual. (S);2022 GSL: ST 2 Qualifier - Round 1;Armani;Classic;0;2;3;S;0
2022-11-14;Qual. (S);2022 GSL: ST 2 Qualifier - Round 1;Armani;Dark;0;2;3;S;0
2022-11-14;Qual. (S);2022 GSL: ST 2 Qualifier - Round 1;Armani;Bunny;2;1;3;S;1
2022-11-14;Qual. (S);2022 GSL: ST 2 Qualifier - Round 1;Armani;Chance;2;0;3;S;1
2022-11-06;Week. (B);ESL Open Cup #148 Korea;Armani;NightMare;1;2;3;B;0
2022-08-31;Showm. (B);Alpha Pro Series: 2022 Show Matches - Premier;Armani;SpeCial;3;4;5;B;0
2022-08-22;S-Tier;2022 GSL S3: Code S - GS 1 Group A;Armani;ByuN;0;2;3;S;0
2022-08-22;S-Tier;2022 GSL S3: Code S - GS 1 Group A;Armani;Astrea;2;1;3;S;1
2022-08-22;S-Tier;2022 GSL S3: Code S - GS 1 Group A;Armani;ByuN;0;2;3;S;0
2022-08-08;Qual. (S);2022 GSL S3: Qualifier;Armani;DRG;0;2;3;S;0
2022-08-08;Qual. (S);2022 GSL S3: Qualifier;Armani;Nice;2;0;3;S;1
2022-08-08;Qual. (S);2022 GSL S3: Qualifier;Armani;Chance;2;0;3;S;1
2022-08-08;Qual. (S);2022 GSL S3: Qualifier;Armani;ByuN;0;2;3;S;0
2022-08-08;Qual. (S);2022 GSL S3: Qualifier;Armani;Jinioh;2;1;3;S;1
2022-08-08;Qual. (S);2022 GSL S3: Qualifier;Armani;SpeCial;2;1;3;S;1
2022-08-08;Qual. (S);2022 GSL S3: Qualifier;Armani;NightMare;2;0;3;S;1
2022-08-08;Qual. (S);2022 GSL S3: Qualifier;Armani;Dream;0;2;3;S;0
2022-08-08;Qual. (S);2022 GSL S3: Qualifier;Armani;Mondo;2;0;3;S;1
2022-07-24;Showm. (B);Alpha Pro Series: 2022 Show Matches - Premier;Armani;TIME;1;3;5;B;0
2022-06-17;Qual. (S);HSC XXI: South Korea Q3;Armani;Ryung;3;0;5;S;1
2022-06-17;Qual. (S);HSC XXI: South Korea Q3;Armani;RagnaroK;1;3;5;S;0
2022-06-17;Qual. (S);HSC XXI: South Korea Q3;Armani;KeeN;2;0;3;S;1
2022-06-15;B-Tier;Spring Champ 2022: KR - GS Group B;Armani;Rex;0;1;1;B;0
2022-06-15;B-Tier;Spring Champ 2022: KR - GS Group B;Armani;NightMare;0;1;1;B;0
2022-06-15;B-Tier;Spring Champ 2022: KR - GS Group B;Armani;Rogue;0;1;1;B;0
2022-06-13;S-Tier;2022 GSL S2: Code S - GS 1 Group C;Armani;Dark;1;2;3;S;0
2022-06-13;S-Tier;2022 GSL S2: Code S - GS 1 Group C;Armani;Ryung;2;1;3;S;1
2022-06-13;S-Tier;2022 GSL S2: Code S - GS 1 Group C;Armani;Zoun;1;2;3;S;0
2022-06-12;Week. (B);ESL Open Cup #127 Korea;Armani;ByuN;0;1;1;B;0
2022-06-12;Week. (B);ESL Open Cup #127 Korea;Armani;Firefly;2;1;3;B;1
2022-06-10;Qual. (S);HSC XXI: South Korea Q2;Armani;QuanTa;1;2;3;S;0
2022-06-10;Qual. (S);HSC XXI: South Korea Q2;Armani;RagnaroK;1;2;3;S;0
2022-06-10;Qual. (S);HSC XXI: South Korea Q2;Armani;Percival;2;0;3;S;1
2022-06-08;Qual. (S);HSC XXI: South Korea Q1;Armani;ByuN;0;2;3;S;0
2022-06-08;Qual. (S);HSC XXI: South Korea Q1;Armani;Percival;2;1;3;S;1
2022-06-08;Qual. (S);HSC XXI: South Korea Q1;Armani;Ryung;1;2;3;S;0
2022-06-04;B-Tier;Afreeca World 95;Armani;KeeN;0;3;5;B;0
2022-06-02;Showm. (B);ITaX Super Series #81;Armani;ByuN;0;3;5;B;0
2022-05-23;Qual. (S);2022 GSL S2: Qualifier;Armani;Prince;1;2;3;S;0
2022-05-23;Qual. (S);2022 GSL S2: Qualifier;Armani;QuanTa;2;0;3;S;1
2022-05-23;Qual. (S);2022 GSL S2: Qualifier;Armani;RagnaroK;0;2;3;S;0
2022-05-23;Qual. (S);2022 GSL S2: Qualifier;Armani;BYE;1;0;1;S;1
2022-05-23;Qual. (S);2022 GSL S2: Qualifier;Armani;Dream;2;1;3;S;1
2022-05-23;Qual. (S);2022 GSL S2: Qualifier;Armani;GuMiho;2;0;3;S;1
2022-05-23;Qual. (S);2022 GSL S2: Qualifier;Armani;Puzzle;2;0;3;S;1
2022-05-16;Week. (B);ESL Open Cup #123 Americas;Armani;Reynor;0;2;3;B;0
2022-05-16;Week. (B);ESL Open Cup #123 Americas;Armani;MaxPax;2;0;3;B;1
2022-05-16;Week. (B);ESL Open Cup #123 Americas;Armani;Holden;2;0;3;B;1
2022-04-19;Qual. (A);KoB3 KR Qualifiers - Bracket;Armani;Solar;0;2;3;A;0
2022-04-13;Mon. (B);OlimoLeague Invitational #12;Armani;SpeCial;3;2;5;B;1
2022-04-13;Mon. (B);OlimoLeague Invitational #12;Armani;Zest;2;3;5;B;0
2022-03-31;B-Tier;Winter Champ 2022;Armani;Harstem;1;2;3;B;0
2022-03-31;B-Tier;Winter Champ 2022;Armani;ByuN;1;2;3;B;0
2022-03-30;Week. (B);Goodgame Cup 21;Armani;Dream;0;2;3;B;0
2022-03-30;Week. (B);Goodgame Cup 21;Armani;ByuN;2;0;3;B;1
2022-03-30;Week. (B);Goodgame Cup 21;Armani;herO;0;2;3;B;0
2022-03-24;S-Tier;2022 GSL S1: Code S - GS 1 Group B;Armani;Zest;0;2;3;S;0
2022-03-24;S-Tier;2022 GSL S1: Code S - GS 1 Group B;Armani;Maru;0;2;3;S;0
2022-03-14;B-Tier;Winter Champ 2022: KR - GS Group A;Armani;Chance;2;0;3;B;1
2022-03-14;B-Tier;Winter Champ 2022: KR - GS Group A;Armani;NightMare;1;2;3;B;0
2022-03-14;B-Tier;Winter Champ 2022: KR - GS Group A;Armani;Prince;1;2;3;B;0
2022-03-14;B-Tier;Winter Champ 2022: KR - GS Group A;Armani;Ryung;1;2;3;B;0
2022-03-10;Qual. (S);2022 GSL S1: Qualifier;Armani;Bunny;0;2;3;S;0
2022-03-10;Qual. (S);2022 GSL S1: Qualifier;Armani;Prince;2;0;3;S;1
2022-03-10;Qual. (S);2022 GSL S1: Qualifier;Armani;ByuL;2;1;3;S;1
2022-03-10;Qual. (S);2022 GSL S1: Qualifier;Armani;herO;1;2;3;S;0
2022-03-10;Qual. (S);2022 GSL S1: Qualifier;Armani;Curious;2;0;3;S;1
2022-03-10;Qual. (S);2022 GSL S1: Qualifier;Armani;Ryung;2;0;3;S;1
2022-03-10;Qual. (S);2022 GSL S1: Qualifier;Armani;Dream;0;2;3;S;0
2022-03-10;Qual. (S);2022 GSL S1: Qualifier;Armani;Percival;2;1;3;S;1
2022-03-10;Qual. (S);2022 GSL S1: Qualifier;Armani;ByuL;2;1;3;S;1
2022-03-08;Qual. (B);Winter Champ 2022: KR Q2;Armani;Cure;0;2;3;B;0
2022-03-08;Qual. (B);Winter Champ 2022: KR Q2;Armani;Nice;2;0;3;B;1
2022-03-04;Qual. (B);Winter Champ 2022: KR Q1;Armani;TRUE;0;2;3;B;0
2022-02-28;Showm. (B);Alpha Pro Series: 2022 Show Matches - Premier;Armani;Classic;0;4;5;B;0
2022-02-27;Week. (B);ESL Open Cup #112 Korea;Armani;Classic;1;3;5;B;0
2022-02-27;Week. (B);ESL Open Cup #112 Korea;Armani;herO;2;1;3;B;1
2022-02-27;Week. (B);ESL Open Cup #112 Korea;Armani;TRUE;2;0;3;B;1
2022-02-27;Week. (B);ESL Open Cup #112 Korea;Armani;温柔兔骑士;2;0;3;B;1
2022-02-25;B-Tier;aX Katowice Waiting Room - GS 1 Group B;Armani;trigger;1;2;3;B;0
2022-02-25;B-Tier;aX Katowice Waiting Room - GS 1 Group B;Armani;Classic;0;2;3;B;0
2022-02-22;Biw. (B);Brawler's Club #22;Armani;Classic;0;3;5;B;0
2022-02-22;Biw. (B);Brawler's Club #22;Armani;NightMare;0;3;5;B;0
2022-02-22;Biw. (B);Brawler's Club #22;Armani;GuMiho;2;3;5;B;0
2022-02-20;Week. (B);ESL Open Cup #111 Korea;Armani;GuMiho;0;2;3;B;0
2022-02-20;Week. (B);ESL Open Cup #111 Korea;Armani;CHAO;2;0;3;B;1
2022-02-18;Week. (B);Goodgame Cup 20;Armani;GuMiho;0;2;3;B;0
2022-02-18;Week. (B);Goodgame Cup 20;Armani;ByuN;0;2;3;B;0
2022-02-18;Week. (B);Goodgame Cup 20;Armani;NightMare;1;2;3;B;0
2022-02-14;B-Tier;ITaX Pre-Katowice Party;Armani;Ryung;1;2;3;B;0
2022-02-03;A-Tier;WardiTV TLMC #8 - Group B;Armani;ByuN;0;2;3;A;0
2022-02-03;A-Tier;WardiTV TLMC #8 - Group B;Armani;NightMare;1;2;3;A;0
2022-02-03;A-Tier;WardiTV TLMC #8 - Group B;Armani;Ryung;2;0;3;A;1
2022-02-03;A-Tier;WardiTV TLMC #8 - Group B;Armani;GuMiho;0;2;3;A;0
2022-01-30;B-Tier;WardiTV Winter Warm-up - Playoffs;Armani;Classic;0;3;5;B;0
2022-01-30;B-Tier;WardiTV Winter Warm-up - Playoffs;Armani;ByuL;3;1;5;B;1
2022-01-29;Biw. (B);Brawler's Club #20;Armani;TIME;1;3;5;B;0
2022-01-29;Biw. (B);Brawler's Club #20;Armani;GuMiho;1;3;5;B;0
2022-01-29;Biw. (B);Brawler's Club #20;Armani;Zest;1;3;5;B;0
2022-01-27;B-Tier;WardiTV Winter Warm-up - Group A;Armani;Percival;2;0;3;B;1
2022-01-27;B-Tier;WardiTV Winter Warm-up - Group A;Armani;Ryung;0;2;3;B;0
2022-01-27;B-Tier;WardiTV Winter Warm-up - Group A;Armani;MaNa;2;1;3;B;1
2022-01-27;B-Tier;WardiTV Winter Warm-up - Group A;Armani;Classic;0;2;3;B;0
2022-01-18;B-Tier;ITaX Pro Circuit 8;Armani;Classic;0;2;3;B;0
2022-01-17;S-Tier;2022 GSL: ST 1;Armani;Maru;0;3;5;S;0
2022-01-10;Qual. (S);2022 GSL: ST 1 Qualifier - Round 2;Armani;DRG;2;0;3;S;1
2022-01-10;Qual. (S);2022 GSL: ST 1 Qualifier - Round 2;Armani;ByuN;1;2;3;S;0
2022-01-10;Qual. (S);2022 GSL: ST 1 Qualifier - Round 2;Armani;DRG;2;1;3;S;1
2022-01-10;Qual. (S);2022 GSL: ST 1 Qualifier - Round 1;Armani;SpeCial;1;2;3;S;0
2022-01-10;Qual. (S);2022 GSL: ST 1 Qualifier - Round 1;Armani;Cure;1;2;3;S;0
