date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2025-09-13;B-Tier;Ukrainian Fight - Playoffs;JEROS;HackErIsTop;0;1;1;B;0
2025-09-13;B-Tier;Ukrainian Fight - Playoffs;JEROS;NightPhoenix;0;2;3;B;0
2025-09-13;B-Tier;Ukrainian Fight - Playoffs;JEROS;Michnek;2;0;3;B;1
2023-04-16;B-Tier;Ukrainian Cup - Playoffs;JEROS;SunSet;0;2;3;B;0
2023-04-02;B-Tier;Ukrainian Cup - Playoffs;JEROS;UFO;2;0;3;B;1
2023-03-25;B-Tier;Ukrainian Cup - Playoffs;JEROS;Kas;0;2;3;B;0
2023-03-19;B-Tier;Ukrainian Cup - Playoffs;JEROS;Grets;2;0;3;B;1
2023-03-12;B-Tier;Ukrainian Cup - Group D;JEROS;Nikolay;2;1;3;B;1
2023-03-12;B-Tier;Ukrainian Cup - Group D;JEROS;LandGuardian;2;0;3;B;1
2023-03-12;B-Tier;Ukrainian Cup - Group D;JEROS;DIMAGA;0;2;3;B;0
2023-03-11;B-Tier;Ukrainian Cup - Group D;JEROS;Kisho;2;0;3;B;1
2023-03-11;B-Tier;Ukrainian Cup - Group D;JEROS;UFO;2;0;3;B;1
2023-03-08;B-Tier;Ukrainian Cup - Group D;JEROS;ChillAllDay;2;0;3;B;1
2022-02-20;Mon. (B);King of CIS: February 2022;JEROS;Rattata;0;1;1;B;0
2022-01-30;Mon. (B);King of CIS: January 2022;JEROS;Bee;0;1;1;B;0
2022-01-29;Week. (C);CSO Cup #38;JEROS;MindelVK;0;1;1;C;0
2022-01-29;Week. (C);CSO Cup #38;JEROS;AqueroN;0;2;3;C;0
2021-07-08;Week. (C);Cock of the Walk #65;JEROS;Krystianer;0;2;3;C;0
2021-06-27;Mon. (B);King of CIS: June 2021;JEROS;GeNieS;0;1;1;B;0
2021-06-18;Week. (C);Asgard Cup #51;JEROS;Shameless;0;3;5;C;0
2021-06-18;Week. (C);Asgard Cup #51;JEROS;ART;2;0;3;C;1
2021-06-18;Week. (C);Asgard Cup #51;JEROS;CleverSwarm;2;0;3;C;1
2021-06-17;Week. (C);Cock of the Walk #62;JEROS;Hopt;0;2;3;C;0
2021-05-30;Mon. (B);King of CIS: May 2021;JEROS;Couguar;1;0;1;B;1
2021-05-30;Mon. (B);King of CIS: May 2021;JEROS;DIMAGA;0;1;1;B;0
2021-05-13;Week. (C);Cock of the Walk #57;JEROS;Krystianer;0;2;3;C;0
2021-05-13;Week. (C);Cock of the Walk #57;JEROS;TerranHymen;2;0;3;C;1
2021-05-09;B-Tier;hjp birthday cup #2;JEROS;Rail;1;2;3;B;0
2021-05-09;B-Tier;hjp birthday cup #2;JEROS;Marsman;2;1;3;B;1
2021-04-29;Week. (C);Cock of the Walk #56;JEROS;Strange;1;3;5;C;0
2021-04-29;Week. (C);Cock of the Walk #56;JEROS;PAPI;2;0;3;C;1
2021-04-29;Week. (C);Cock of the Walk #56;JEROS;ForJumy;2;1;3;C;1
2021-04-29;Week. (C);Cock of the Walk #56;JEROS;Bekzhan;2;1;3;C;1
2021-04-25;Mon. (B);King of CIS: April 2021;JEROS;Bee;0;1;1;B;0
2021-04-22;Week. (C);Asgard Cup #48;JEROS;ART;1;2;3;C;0
2021-04-18;B-Tier;BeAsT RTG Edition #6;JEROS;Bistork;0;1;1;B;0
2021-04-18;B-Tier;JumyCup #2;JEROS;BattleB;2;3;5;B;0
2021-04-17;B-Tier;JumyCup #2;JEROS;Adonminus;2;1;3;B;1
2021-04-17;B-Tier;JumyCup #2;JEROS;Eiger;2;1;3;B;1
2021-04-17;B-Tier;JumyCup #2;JEROS;Bioice;1;0;1;B;1
2021-04-17;B-Tier;JumyCup #2;JEROS;PAPI;1;0;1;B;1
2021-04-17;Biw. (C);CSO Cup #16;JEROS;Kas;0;2;3;C;0
2021-04-17;B-Tier;JumyCup #2;JEROS;Maplez;0;2;3;B;0
2021-03-21;Week. (C);PassionCraft Sunday Showdown #42;JEROS;Krystianer;1;2;3;C;0
2021-02-15;Week. (B);ESL Open Cup #58 Europe;JEROS;DnS;0;2;3;B;0
2021-02-14;C-Tier;DSL Pro Season 3 - Playoffs;JEROS;Mixu;1;3;5;C;0
2021-02-14;C-Tier;DSL Pro Season 3 - Group C;JEROS;ProbeScout;2;0;3;C;1
2021-02-14;C-Tier;DSL Pro Season 3 - Group C;JEROS;BattleB;0;2;3;C;0
2021-02-14;C-Tier;DSL Pro Season 3 - Group C;JEROS;Jinioh;2;0;3;C;1
2021-01-31;Mon. (B);King of CIS: January 2021;JEROS;Vanya;0;1;1;B;0
2021-01-10;Week. (B);ESL Open Cup #52 Europe;JEROS;Elazer;0;2;3;B;0
2021-01-10;B-Tier;DSL Pro Season 2 - Playoffs;JEROS;Nicoract;1;3;5;B;0
2021-01-10;B-Tier;DSL Pro Season 2 - Playoffs;JEROS;BattleB;3;1;5;B;1
2021-01-10;B-Tier;DSL Pro Season 2 - Group D;JEROS;StarDuck;2;0;3;B;1
2021-01-10;B-Tier;DSL Pro Season 2 - Group D;JEROS;Arrogfire;1;0;1;B;1
2021-01-10;B-Tier;DSL Pro Season 2 - Group D;JEROS;Percival;0;1;1;B;0
2021-01-10;Week. (B);ESL Open Cup #52 Europe;JEROS;Ryan;2;0;3;B;1
2021-01-08;C-Tier;Project Chaos Esports: Collateral Damage;JEROS;Gerald;1;3;5;C;0
2021-01-08;C-Tier;Project Chaos Esports: Collateral Damage;JEROS;CoxtaOPhorte;2;0;3;C;1
2021-01-08;C-Tier;Project Chaos Esports: Collateral Damage;JEROS;Gerald;1;2;3;C;0
2021-01-08;C-Tier;Project Chaos Esports: Collateral Damage;JEROS;Killermonjas;2;0;3;C;1
2020-12-27;Mon. (B);King of CIS: December 2020;JEROS;SKillous;0;1;1;B;0
2020-12-22;B-Tier;GG of the Year 2020 - Group B;JEROS;DIMAGA;0;2;3;B;0
2020-12-22;B-Tier;GG of the Year 2020 - Group B;JEROS;Hellraiser;0;2;3;B;0
