date;match;tournament;player;oponent;player_wins;oponent_wins;best_of;tournament_tier;target
2025-05-24;Week. (C);PassionCraft Emerging Stars #17;NasisNazty;F2ClicK;0;2;3;C;0
2025-05-10;Week. (C);PassionCraft Emerging Stars #15;NasisNazty;F2ClicK;0;2;3;C;0
2023-05-27;Biw. (C);Tenacious Turtle Tussle #4;NasisNazty;kazmir;0;1;1;C;0
2023-05-27;Biw. (C);Tenacious Turtle Tussle #4;NasisNazty;Ranger;0;2;3;C;0
2023-04-25;B-Tier;WardiTV April Open;NasisNazty;SKillous;0;2;3;B;0
2023-03-30;Biw. (C);Sparkling Tuna Cup #27;NasisNazty;DIMAGA;0;2;3;C;0
2023-03-18;Week. (C);CSO Cup #57;NasisNazty;ForJumy;0;2;3;C;0
2023-03-02;Week. (B);OSC King of the Hill Weekly #126;NasisNazty;Spirit;0;1;1;B;0
2023-02-24;Week. (B);OSC King of the Hill Weekly #125;NasisNazty;SpeCial;0;1;1;B;0
2023-02-18;Week. (B);OSC King of the Hill Weekly #124;NasisNazty;NightPhoenix;0;1;1;B;0
2023-02-11;Week. (B);OSC King of the Hill Weekly #123;NasisNazty;MeomaikA;0;1;1;B;0
2020-12-18;Week. (C);Cascadia Cup Weekly #6;NasisNazty;Gerald;0;2;3;C;0
2020-12-17;Week. (C);Cock of the Walk #40;NasisNazty;GreatTeacher;0;2;3;C;0
2020-12-12;Biw. (C);CSO Cup #9;NasisNazty;Azura;0;2;3;C;0
2020-12-05;Week. (C);Battle of the Americas #39;NasisNazty;Elegacy;0;2;3;C;0
2020-12-02;Week. (B);eXoN Cup Open #20;NasisNazty;Taldan;0;2;3;B;0
2020-11-29;Biw. (C);The Pizza Pie: Season 4 - Cup #9;NasisNazty;Bly;0;2;3;C;0
2020-11-28;Week. (B);OSC King of the Hill Weekly #50;NasisNazty;souL;0;1;1;B;0
2020-11-19;Week. (C);Cock of the Walk #37;NasisNazty;ForJumy;0;2;3;C;0
2020-11-18;Week. (B);eXoN Cup Open #19;NasisNazty;Fallenger;0;2;3;B;0
2020-11-14;Week. (C);Battle of the Americas #37;NasisNazty;DestroyerTT;0;2;3;C;0
2020-11-08;Week. (B);OSC King of the Hill Weekly #47;NasisNazty;Mixu;0;1;1;B;0
2020-11-05;Week. (C);Shyrshadi Open #37;NasisNazty;Nina;0;2;3;C;0
2020-11-04;Week. (C);eXoN Cup Open #17;NasisNazty;sigh;0;2;3;C;0
2020-10-31;Week. (C);Battle of the Americas #35;NasisNazty;chorocarlo;0;2;3;C;0
2020-10-25;Biw. (C);OSC Elite SC2 Cup #11;NasisNazty;Marsman;0;1;1;C;0
2020-10-25;Biw. (C);OSC Elite SC2 Cup #11;NasisNazty;BYE;1;0;1;C;1
2020-10-25;Biw. (C);OSC Elite SC2 Cup #11;NasisNazty;Kelazhur;0;2;3;C;0
2020-10-24;Week. (C);Battle of the Americas #34;NasisNazty;MooD;0;2;3;C;0
2020-10-24;Week. (C);Battle of the Americas #34;NasisNazty;Ciceron;2;0;3;C;1
2020-10-14;Week. (C);eXoN Cup Open #14;NasisNazty;Ruiyichi;0;2;3;C;0
2020-10-13;Week. (C);OSC Matiz Open #5;NasisNazty;souL;0;2;3;C;0
2020-10-12;Biw. (C);OSC Elite SC2 Cup #10;NasisNazty;Bee;0;2;3;C;0
2020-10-10;Biw. (C);CSO Cup #5;NasisNazty;Ziomek;0;2;3;C;0
2020-10-10;Biw. (C);CSO Cup #5;NasisNazty;Krystianer;0;2;3;C;0
2020-10-09;Week. (C);IndyK Crew Weekly Cup #34;NasisNazty;Krystianer;0;2;3;C;0
2020-10-09;Week. (C);IndyK Crew Weekly Cup #34;NasisNazty;BYE;1;0;1;C;1
2020-10-08;Week. (C);Shyrshadi Open #34;NasisNazty;KCal;0;2;3;C;0
2020-10-07;Week. (B);OSC King of the Hill Weekly #43;NasisNazty;Bly;0;1;1;B;0
2020-10-07;Week. (C);eXoN Cup Open #13;NasisNazty;SpeCial;0;2;3;C;0
2020-10-07;Week. (C);eXoN Cup Open #13;NasisNazty;BYE;1;0;1;C;1
2020-10-04;Biw. (C);The Pizza Pie: Season 4 - Cup #5;NasisNazty;Cham;0;2;3;C;0
2020-10-03;Week. (C);Battle of the Americas #32;NasisNazty;MooD;0;2;3;C;0
2020-10-02;Week. (C);IndyK Crew Weekly Cup #33;NasisNazty;DeeDan;0;2;3;C;0
2020-10-02;Biw. (C);2020 NA Apprentice Cup #19;NasisNazty;PiLiPiLi;0;2;3;C;0
2020-10-01;Week. (C);Shyrshadi Open #33;NasisNazty;Creed;0;2;3;C;0
2020-09-29;Week. (C);OSC Matiz Open #4;NasisNazty;Spatz;0;2;3;C;0
2020-09-29;Week. (C);OSC Matiz Open #4;NasisNazty;BYE;1;0;1;C;1
2020-09-26;Week. (B);OSC King of the Hill Weekly #41;NasisNazty;Vivid;0;1;1;B;0
2020-09-25;Week. (C);IndyK Crew Weekly Cup #32;NasisNazty;Majkelrooshi;0;2;3;C;0
2020-09-24;Week. (C);Shyrshadi Open #32;NasisNazty;Gabslee;0;2;3;C;0
2020-09-23;Week. (C);eXoN Cup Open #11;NasisNazty;Adonminus;0;2;3;C;0
2020-09-22;Week. (C);OSC Matiz Open #3;NasisNazty;Namshar;0;2;3;C;0
2020-09-22;Week. (C);OSC Matiz Open #3;NasisNazty;BYE;1;0;1;C;1
2020-09-20;Biw. (C);The Pizza Pie: Season 4 - Cup #4;NasisNazty;Spy;0;2;3;C;0
2020-09-19;Week. (C);Battle of the Americas #30;NasisNazty;Eurystheus;0;2;3;C;0
2020-09-18;Week. (C);IndyK Crew Weekly Cup #31;NasisNazty;Magiszonek;0;2;3;C;0
2020-09-16;Week. (C);eXoN Cup Open #10;NasisNazty;Ukko;0;2;3;C;0
2020-09-13;Biw. (C);OSC Elite SC2 Cup #8;NasisNazty;MaNa;0;1;1;C;0
2020-09-13;Biw. (C);OSC Elite SC2 Cup #8;NasisNazty;Lillekanin;0;2;3;C;0
2020-09-12;Week. (B);OSC King of the Hill Weekly #39;NasisNazty;MaxPax;0;1;1;B;0
2020-09-10;Week. (C);Shyrshadi Open #30;NasisNazty;meeK;0;2;3;C;0
2020-09-09;Week. (B);eXoN Cup Open #9;NasisNazty;Nitix;0;2;3;B;0
2020-09-06;Biw. (C);The Pizza Pie: Season 4 - Cup #3;NasisNazty;Kunamatata;0;2;3;C;0
2020-09-05;Week. (C);Battle of the Americas #28;NasisNazty;Kunamatata;0;2;3;C;0
2020-09-02;Week. (C);eXoN Cup Open #8;NasisNazty;Melody;0;2;3;C;0
2020-08-29;Week. (C);Battle of the Americas #27;NasisNazty;FoxeR;0;2;3;C;0
2020-08-27;Week. (C);Cock of the Walk #25;NasisNazty;ShaDow;0;2;3;C;0
2020-08-26;Biw. (C);eXoN Cup Open #7;NasisNazty;ForJumy;0;2;3;C;0
2020-08-16;Biw. (C);OSC Elite SC2 Cup #6;NasisNazty;Ryan;0;1;1;C;0
2020-08-16;Biw. (C);OSC Elite SC2 Cup #6;NasisNazty;goblin;1;0;1;C;1
2020-08-16;Biw. (C);OSC Elite SC2 Cup #6;NasisNazty;SortOf;0;2;3;C;0
2020-08-14;C-Tier;OSC Matiz Open #1;NasisNazty;Rail;0;2;3;C;0
2020-08-05;Biw. (C);eXoN Cup Open #6;NasisNazty;Taldan;0;2;3;C;0
2020-08-01;Week. (C);Battle of the Americas #25;NasisNazty;NeosShaggy;0;2;3;C;0
2020-08-01;Week. (B);Masters Cup 143;NasisNazty;Ashbringer;0;2;3;B;0
2020-07-30;Week. (C);Cock of the Walk #21;NasisNazty;Ryan;0;2;3;C;0
2020-07-26;Biw. (C);2020 NA Apprentice Cup #14;NasisNazty;Silky;0;2;3;C;0
2020-07-24;Week. (C);IndyK Crew Weekly Cup #25;NasisNazty;SZUGARninja;0;2;3;C;0
2020-07-18;Week. (C);Battle of the Americas #23;NasisNazty;Novais;0;2;3;C;0
2020-07-11;Week. (B);Masters Cup 140;NasisNazty;Nicoract;0;2;3;B;0
2020-07-10;Biw. (C);2020 NA Apprentice Cup #13;NasisNazty;Maplez;0;2;3;C;0
2020-07-09;Week. (C);Shyrshadi Open #24;NasisNazty;Shiva;0;2;3;C;0
2020-07-04;Week. (B);Masters Cup 139;NasisNazty;Sagan;0;2;3;B;0
2020-07-04;Week. (C);Battle of the Americas #21;NasisNazty;NeosShaggy;0;2;3;C;0
2020-07-02;Week. (C);Shyrshadi Open #23;NasisNazty;RonDon;0;1;1;C;0
2020-06-28;Week. (B);OSC King of the Hill Weekly #29;NasisNazty;MaxPax;0;1;1;B;0
2020-06-28;Week. (C);PassionCraft Sunday Showdown #19;NasisNazty;Mixu;0;2;3;C;0
2020-06-27;Week. (B);Masters Cup 138;NasisNazty;HeavenSDevil;1;2;3;B;0
2020-06-27;Week. (C);Battle of the Americas #20;NasisNazty;EndOfDays;0;2;3;C;0
2020-06-26;Week. (C);IndyK Crew Weekly Cup #21;NasisNazty;MadLife;0;2;3;C;0
2020-06-25;Week. (C);Shyrshadi Open #22;NasisNazty;Lero;0;2;3;C;0
2020-06-23;Week. (C);TopTierPractice Cup #4;NasisNazty;Pacomike;0;2;3;C;0
2020-06-18;Week. (C);Cock of the Walk #16;NasisNazty;Mixu;0;2;3;C;0
2020-06-13;Week. (C);Battle of the Americas #19;NasisNazty;PiLiPiLi;0;2;3;C;0
2020-06-12;Biw. (C);2020 NA Apprentice Cup #11;NasisNazty;Future;0;2;3;C;0
2020-06-11;Week. (C);Shyrshadi Open #21;NasisNazty;marmellohh;0;2;3;C;0
2020-06-09;Week. (C);TopTierPractice Cup #3;NasisNazty;BLord;0;2;3;C;0
2020-06-06;Week. (C);Battle of the Americas #18;NasisNazty;Vindicta;0;2;3;C;0
2020-06-05;Week. (C);IndyK Crew Weekly Cup #19;NasisNazty;Mordrago;0;2;3;C;0
2020-06-04;Week. (B);Kung Fu Cup 2020 Weekly #20;NasisNazty;MacSed;0;2;3;B;0
2020-06-03;Week. (C);Monday Mayhem #4;NasisNazty;Bee;0;2;3;C;0
2020-05-31;Week. (C);PassionCraft Sunday Showdown #16;NasisNazty;Exostriker;0;2;3;C;0
2020-05-30;Week. (B);Masters Cup 135;NasisNazty;Nicoract;0;2;3;B;0
2020-05-28;Week. (C);Shyrshadi Open #19;NasisNazty;kiwian;0;2;3;C;0
2020-05-28;Biw. (C);eXoN Cup Open #1;NasisNazty;Nina;0;2;3;C;0
2020-05-28;Week. (C);Cock of the Walk #13;NasisNazty;Shino;0;2;3;C;0
2020-05-28;Biw. (C);The Pizza Pie: Season 3 - Cup #9;NasisNazty;MaSa;0;2;3;C;0
2020-05-26;Week. (C);TopTierPractice Cup #2;NasisNazty;Musti;0;2;3;C;0
2020-05-23;Week. (B);OSC King of the Hill Weekly #24;NasisNazty;souL;0;1;1;B;0
2020-05-21;Week. (B);Kung Fu Cup 2020 Weekly #18;NasisNazty;Patience;0;2;3;B;0
2020-05-21;Week. (C);Shyrshadi Open #18;NasisNazty;RaNgeD;0;2;3;C;0
2020-05-20;Week. (C);Monday Mayhem #2;NasisNazty;Bly;0;2;3;C;0
2020-05-17;Week. (C);PassionCraft Sunday Showdown #14;NasisNazty;Cham;0;2;3;C;0
2020-05-16;Week. (B);OSC King of the Hill Weekly #23;NasisNazty;Kelazhur;0;1;1;B;0
2020-05-16;Week. (B);Masters Cup 133;NasisNazty;Vindicta;0;2;3;B;0
2020-05-15;Biw. (C);2020 NA Apprentice Cup #9;NasisNazty;Vindicta;0;2;3;C;0
2020-05-14;Week. (B);Kung Fu Cup 2020 Weekly #17;NasisNazty;DisReSpeCT;0;2;3;B;0
2020-05-14;Week. (C);Shyrshadi Open #17;NasisNazty;Basherslice;0;2;3;C;0
2020-05-12;Week. (B);OSC King of the Hill Weekly #22;NasisNazty;DoctorRyan;0;1;1;B;0
2020-05-11;Biw. (C);The Pizza Pie: Season 3 - Cup #8;NasisNazty;IntuitioN;0;2;3;C;0
2020-05-07;Week. (B);Kung Fu Cup 2020 Weekly #16;NasisNazty;EF;0;2;3;B;0
2020-05-07;Week. (C);Shyrshadi Open #16;NasisNazty;Asuna;0;2;3;C;0
2020-05-02;Week. (B);OSC King of the Hill Weekly #21;NasisNazty;SpeCial;0;1;1;B;0
2020-04-30;Week. (C);Shyrshadi Open #15;NasisNazty;Asuna;0;2;3;C;0
2020-04-30;Week. (C);Cock of the Walk #9;NasisNazty;Ziomek;0;2;3;C;0
2020-04-28;Biw. (C);The Pizza Pie: Season 3 - Cup #7;NasisNazty;Flume;0;2;3;C;0
2020-04-26;Week. (B);Masters Cup 131;NasisNazty;Kelazhur;0;2;3;B;0
2020-04-25;Week. (B);OSC King of the Hill Weekly #20;NasisNazty;MaNa;0;1;1;B;0
2020-04-23;Week. (C);Shyrshadi Open #14;NasisNazty;LastSurprise;0;2;3;C;0
2020-04-16;Week. (C);Shyrshadi Open #13;NasisNazty;Nina;0;2;3;C;0
2020-04-14;Biw. (C);The Pizza Pie: Season 3 - Cup #6;NasisNazty;Cham;0;2;3;C;0
2020-04-09;Week. (B);Kung Fu Cup 2020 Weekly #12;NasisNazty;TurN;0;2;3;B;0
